@RELATION eval  
   
@ATTRIBUTE Type NUMERIC 
@ATTRIBUTE Size {100, 200} 
@ATTRIBUTE Instance NUMERIC  
@ATTRIBUTE Budget NUMERIC  
@ATTRIBUTE PopSize NUMERIC  
@ATTRIBUTE Info NUMERIC  
@ATTRIBUTE nb_evaluation NUMERIC  
@ATTRIBUTE AVG_dist NUMERIC  
@ATTRIBUTE MaxMin NUMERIC  
@ATTRIBUTE PR NUMERIC  
@ATTRIBUTE Diversification {1, 0}  

@DATA 
0,100,0.556,0.025,0.02,0.451,0,0.029,0.084,0.025,0
0,100,0.556,0.025,0.02,0.313,0,0.028,0.072,0.045,0
0,100,0.556,0.025,0.02,0.129,0,0.037,0.06,0.08,0
0,100,0.556,0.025,0.02,0.089,0,0.019,0.019,0.071,0
0,100,0.556,0.025,0.02,0.048,0,0.024,0.024,0.036,0
0,100,0.556,0.025,0.02,0.041,0,0.025,0.025,0.036,0
0,100,0.556,0.025,0.02,0.0,0,0.035,0.035,0.036,0
0,100,0.556,0.025,0.082,1.0,0,0.087,0.323,0.004,0
0,100,0.556,0.025,0.082,0.451,0,0.025,0.071,0.051,0
0,100,0.556,0.025,0.082,0.313,0,0.021,0.06,0.126,0
0,100,0.556,0.025,0.082,0.129,0,0.034,0.056,0.107,0
0,100,0.556,0.025,0.082,0.089,0,0.021,0.021,0.036,0
0,100,0.556,0.025,0.082,0.048,0,0.024,0.024,0.036,0
0,100,0.556,0.025,0.082,0.041,0,0.025,0.025,0.036,0
0,100,0.556,0.025,0.082,0.0,0,0.035,0.035,0.036,0
0,100,0.556,0.025,0.204,1.0,0,0.182,0.267,0.0,0
0,100,0.556,0.025,0.204,0.451,0,0.047,0.078,0.018,0
0,100,0.556,0.025,0.204,0.313,0,0.026,0.062,0.107,0
0,100,0.556,0.025,0.204,0.129,0,0.034,0.056,0.107,0
0,100,0.556,0.025,0.204,0.089,0,0.021,0.021,0.036,0
0,100,0.556,0.025,0.204,0.048,0,0.024,0.024,0.036,0
0,100,0.556,0.025,0.204,0.041,0,0.025,0.025,0.036,0
0,100,0.556,0.025,0.204,0.0,0,0.035,0.035,0.036,0
0,100,0.556,0.025,0.612,1.0,0,0.205,0.277,0.0,0
0,100,0.556,0.025,0.612,0.451,0,0.047,0.077,0.015,0
0,100,0.556,0.025,0.612,0.313,0,0.026,0.062,0.107,0
0,100,0.556,0.025,0.612,0.129,0,0.034,0.056,0.107,0
0,100,0.556,0.025,0.612,0.089,0,0.021,0.021,0.036,0
0,100,0.556,0.025,0.612,0.048,0,0.024,0.024,0.036,0
0,100,0.556,0.025,0.612,0.041,0,0.025,0.025,0.036,0
0,100,0.556,0.025,0.612,0.0,0,0.035,0.035,0.036,0
0,100,0.556,0.025,1.02,1.0,0,0.205,0.277,0.0,0
0,100,0.556,0.025,1.02,0.451,0,0.047,0.077,0.015,0
0,100,0.556,0.025,1.02,0.313,0,0.026,0.062,0.107,0
0,100,0.556,0.025,1.02,0.129,0,0.034,0.056,0.107,0
0,100,0.556,0.025,1.02,0.089,0,0.021,0.021,0.036,0
0,100,0.556,0.025,1.02,0.048,0,0.024,0.024,0.036,0
0,100,0.556,0.025,1.02,0.041,0,0.025,0.025,0.036,0
0,100,0.556,0.025,1.02,0.0,0,0.035,0.035,0.036,0
0,100,0.556,0.035,0.02,1.0,0,0.05,0.259,0.004,0
0,100,0.556,0.035,0.02,0.451,0,0.029,0.084,0.025,0
0,100,0.556,0.035,0.02,0.313,0,0.028,0.072,0.045,0
0,100,0.556,0.035,0.02,0.129,0,0.037,0.06,0.08,0
0,100,0.556,0.035,0.02,0.089,0,0.019,0.019,0.071,0
0,100,0.556,0.035,0.02,0.048,0,0.024,0.024,0.036,0
0,100,0.556,0.035,0.02,0.041,0,0.025,0.025,0.036,0
0,100,0.556,0.035,0.02,0.0,0,0.035,0.035,0.036,0
0,100,0.556,0.035,0.082,1.0,0,0.055,0.296,0.021,0
0,100,0.556,0.035,0.082,0.451,0,0.016,0.062,0.154,0
