@RELATION eval  
   
@ATTRIBUTE Type NUMERIC 
@ATTRIBUTE Size {100, 200} 
@ATTRIBUTE Instance NUMERIC  
@ATTRIBUTE Budget NUMERIC  
@ATTRIBUTE PopSize NUMERIC  
@ATTRIBUTE Info NUMERIC  
@ATTRIBUTE nb_evaluation NUMERIC  
@ATTRIBUTE AVG_dist NUMERIC  
@ATTRIBUTE MaxMin NUMERIC  
@ATTRIBUTE PR NUMERIC  
@ATTRIBUTE Diversification {1, 0}  

@DATA 0,100,1.0,0.005,0.02,1.0,0,0.169,0.355,0.0,0
0,100,1.0,0.025,0.02,0.451,0,0.048,0.17,0.032,0
0,100,1.0,0.025,0.02,0.313,0,0.054,0.14,0.018,0
0,100,1.0,0.025,0.02,0.129,0,0.033,0.057,0.055,0
0,100,1.0,0.025,0.02,0.089,0,0.036,0.064,0.048,0
0,100,1.0,0.025,0.02,0.048,0,0.044,0.055,0.034,0
0,100,1.0,0.025,0.02,0.041,0,0.042,0.052,0.052,0
0,100,1.0,0.025,0.02,0.0,0,0.041,0.041,0.034,0
0,100,1.0,0.025,0.082,1.0,0,0.085,0.291,0.0,0
0,100,1.0,0.025,0.082,0.451,0,0.037,0.139,0.034,0
0,100,1.0,0.025,0.082,0.313,0,0.039,0.113,0.092,0
0,100,1.0,0.025,0.082,0.129,0,0.032,0.056,0.055,0
0,100,1.0,0.025,0.082,0.089,0,0.038,0.067,0.041,0
0,100,1.0,0.025,0.082,0.048,0,0.045,0.056,0.034,0
0,100,1.0,0.025,0.082,0.041,0,0.042,0.053,0.052,0
0,100,1.0,0.025,0.082,0.0,0,0.041,0.041,0.034,0
0,100,1.0,0.025,0.204,1.0,0,0.192,0.264,0.0,0
0,100,1.0,0.025,0.204,0.451,0,0.059,0.136,0.019,0
0,100,1.0,0.025,0.204,0.313,0,0.041,0.113,0.074,0
0,100,1.0,0.025,0.204,0.129,0,0.032,0.056,0.055,0
0,100,1.0,0.025,0.204,0.089,0,0.038,0.067,0.041,0
0,100,1.0,0.025,0.204,0.048,0,0.045,0.056,0.034,0
0,100,1.0,0.025,0.204,0.041,0,0.042,0.053,0.052,0
0,100,1.0,0.025,0.204,0.0,0,0.041,0.041,0.034,0
0,100,1.0,0.025,0.612,1.0,0,0.223,0.281,0.0,0
0,100,1.0,0.025,0.612,0.451,0,0.059,0.139,0.02,0
0,100,1.0,0.025,0.612,0.313,0,0.041,0.11,0.074,0
0,100,1.0,0.025,0.612,0.129,0,0.032,0.056,0.055,0
0,100,1.0,0.025,0.612,0.089,0,0.038,0.067,0.041,0
0,100,1.0,0.025,0.612,0.048,0,0.045,0.056,0.034,0
0,100,1.0,0.025,0.612,0.041,0,0.042,0.053,0.052,0
0,100,1.0,0.025,0.612,0.0,0,0.041,0.041,0.034,0
0,100,1.0,0.025,1.02,1.0,0,0.223,0.281,0.0,0
0,100,1.0,0.025,1.02,0.451,0,0.059,0.139,0.02,0
0,100,1.0,0.025,1.02,0.313,0,0.041,0.11,0.074,0
0,100,1.0,0.025,1.02,0.129,0,0.032,0.056,0.055,0
0,100,1.0,0.025,1.02,0.089,0,0.038,0.067,0.041,0
0,100,1.0,0.025,1.02,0.048,0,0.045,0.056,0.034,0
0,100,1.0,0.025,1.02,0.041,0,0.042,0.053,0.052,0
0,100,1.0,0.025,1.02,0.0,0,0.041,0.041,0.034,0
0,100,1.0,0.035,0.02,1.0,0,0.053,0.24,0.004,0
0,100,1.0,0.035,0.02,0.451,0,0.048,0.17,0.032,0
0,100,1.0,0.035,0.02,0.313,0,0.054,0.14,0.018,0
0,100,1.0,0.035,0.02,0.129,0,0.033,0.057,0.055,0
0,100,1.0,0.035,0.02,0.089,0,0.036,0.064,0.048,0
0,100,1.0,0.035,0.02,0.048,0,0.044,0.055,0.034,0
0,100,1.0,0.035,0.02,0.041,0,0.042,0.052,0.052,0
0,100,1.0,0.035,0.02,0.0,0,0.041,0.041,0.034,0
0,100,1.0,0.035,0.082,1.0,0,0.053,0.249,0.026,0
0,100,1.0,0.035,0.082,0.451,0,0.027,0.124,0.15,0
0,100,1.0,0.035,0.082,0.313,0,0.037,0.111,0.101,0
0,100,1.0,0.035,0.082,0.129,0,0.032,0.056,0.055,0
0,100,1.0,0.035,0.082,0.089,0,0.038,0.067,0.041,0
0,100,1.0,0.035,0.082,0.048,0,0.045,0.056,0.034,0
0,100,1.0,0.035,0.082,0.041,0,0.042,0.053,0.052,0
0,100,1.0,0.035,0.082,0.0,0,0.041,0.041,0.034,0
0,100,1.0,0.035,0.204,1.0,0,0.123,0.231,0.0,0
0,100,1.0,0.035,0.204,0.451,0,0.031,0.117,0.08,0
0,100,1.0,0.035,0.204,0.313,0,0.039,0.112,0.099,0
0,100,1.0,0.035,0.204,0.129,0,0.032,0.056,0.055,0
0,100,1.0,0.035,0.204,0.089,0,0.038,0.067,0.041,0
0,100,1.0,0.035,0.204,0.048,0,0.045,0.056,0.034,0
0,100,1.0,0.035,0.204,0.041,0,0.042,0.053,0.052,0
0,100,1.0,0.035,0.204,0.0,0,0.041,0.041,0.034,0
0,100,1.0,0.035,0.612,1.0,0,0.17,0.241,0.0,0
0,100,1.0,0.035,0.612,0.451,0,0.032,0.119,0.081,0
0,100,1.0,0.035,0.612,0.313,0,0.039,0.112,0.099,0
0,100,1.0,0.035,0.612,0.129,0,0.032,0.056,0.055,0
0,100,1.0,0.035,0.612,0.089,0,0.038,0.067,0.041,0
0,100,1.0,0.035,0.612,0.048,0,0.045,0.056,0.034,0
0,100,1.0,0.035,0.612,0.041,0,0.042,0.053,0.052,0
0,100,1.0,0.035,0.612,0.0,0,0.041,0.041,0.034,0
0,100,1.0,0.035,1.02,1.0,0,0.17,0.241,0.0,0
0,100,1.0,0.035,1.02,0.451,0,0.032,0.119,0.081,0
0,100,1.0,0.035,1.02,0.313,0,0.039,0.112,0.099,0
0,100,1.0,0.035,1.02,0.129,0,0.032,0.056,0.055,0
