@RELATION eval  
   
@ATTRIBUTE Type  {A, B, C, D} 
@ATTRIBUTE Size  {100, 200} 
@ATTRIBUTE Instance NUMERIC  
@ATTRIBUTE Budget NUMERIC  
@ATTRIBUTE PopSize NUMERIC  
@ATTRIBUTE Info NUMERIC  
@ATTRIBUTE nb_evaluation NUMERIC  
@ATTRIBUTE AVG_dist NUMERIC  
@ATTRIBUTE MaxMin NUMERIC  
@ATTRIBUTE PR NUMERIC  
@ATTRIBUTE Diversification {1, 0}  

@DATA 
A, 100, 0, 0.01, 0.20, 0.00, 17.57, 0.06, 0.06, 0.00, 0
A, 100, 0, 0.01, 0.61, 1.00, 60.00, 0.42, 0.47, 0.00, 0
A, 100, 0, 0.01, 0.61, 0.45, 60.00, 0.19, 0.28, 0.00, 0
A, 100, 0, 0.01, 0.61, 0.31, 59.40, 0.11, 0.19, 0.01, 0
A, 100, 0, 0.01, 0.61, 0.13, 36.10, 0.03, 0.05, 0.10, 0
A, 100, 0, 0.01, 0.61, 0.09, 29.37, 0.03, 0.06, 0.02, 0
A, 100, 0, 0.01, 0.61, 0.05, 22.40, 0.05, 0.05, 0.00, 0
A, 100, 0, 0.01, 0.61, 0.04, 21.80, 0.05, 0.05, 0.00, 0
A, 100, 0, 0.01, 0.61, 0.00, 17.57, 0.06, 0.06, 0.00, 0
A, 100, 0, 0.01, 1.02, 1.00, 60.00, 0.42, 0.47, 0.00, 0
A, 100, 0, 0.01, 1.02, 0.45, 60.00, 0.19, 0.28, 0.00, 0
A, 100, 0, 0.01, 1.02, 0.31, 59.40, 0.11, 0.19, 0.01, 0
A, 100, 0, 0.01, 1.02, 0.13, 36.10, 0.03, 0.05, 0.10, 0
A, 100, 0, 0.01, 1.02, 0.09, 29.37, 0.03, 0.06, 0.02, 0
A, 100, 0, 0.01, 1.02, 0.05, 22.40, 0.05, 0.05, 0.00, 0
A, 100, 0, 0.01, 1.02, 0.04, 21.80, 0.05, 0.05, 0.00, 0
A, 100, 0, 0.01, 1.02, 0.00, 17.57, 0.06, 0.06, 0.00, 0
A, 100, 0, 0.03, 0.02, 1.00, 74.23, 0.08, 0.31, 0.02, 0
A, 100, 0, 0.03, 0.02, 0.45, 45.13, 0.06, 0.21, 0.03, 0
A, 100, 0, 0.03, 0.02, 0.31, 39.77, 0.06, 0.17, 0.02, 0
A, 100, 0, 0.03, 0.02, 0.13, 27.83, 0.04, 0.06, 0.04, 0
A, 100, 0, 0.03, 0.02, 0.09, 25.60, 0.03, 0.06, 0.02, 0
A, 100, 0, 0.03, 0.02, 0.05, 21.77, 0.05, 0.05, 0.00, 0
A, 100, 0, 0.03, 0.02, 0.04, 21.53, 0.05, 0.05, 0.00, 0
A, 100, 0, 0.03, 0.02, 0.00, 17.57, 0.06, 0.06, 0.00, 0
A, 100, 0, 0.03, 0.08, 1.00, 100.00, 0.13, 0.38, 0.00, 0
A, 100, 0, 0.03, 0.08, 0.45, 98.97, 0.07, 0.20, 0.03, 0
A, 100, 0, 0.03, 0.08, 0.31, 88.20, 0.04, 0.14, 0.07, 0
A, 100, 0, 0.03, 0.08, 0.13, 36.37, 0.03, 0.05, 0.12, 0
A, 100, 0, 0.03, 0.08, 0.09, 29.37, 0.03, 0.06, 0.02, 0
A, 100, 0, 0.03, 0.08, 0.05, 22.40, 0.05, 0.05, 0.00, 0
A, 100, 0, 0.03, 0.08, 0.04, 21.80, 0.05, 0.05, 0.00, 0
A, 100, 0, 0.03, 0.08, 0.00, 17.57, 0.06, 0.06, 0.00, 0
A, 100, 0, 0.03, 0.20, 1.00, 100.00, 0.29, 0.39, 0.00, 0
A, 100, 0, 0.03, 0.20, 0.45, 99.43, 0.10, 0.19, 0.02, 0
A, 100, 0, 0.03, 0.20, 0.31, 90.67, 0.05, 0.14, 0.06, 0
A, 100, 0, 0.03, 0.20, 0.13, 36.43, 0.03, 0.05, 0.12, 0
A, 100, 0, 0.03, 0.20, 0.09, 29.37, 0.03, 0.06, 0.02, 0
A, 100, 0, 0.03, 0.20, 0.05, 22.40, 0.05, 0.05, 0.00, 0
A, 100, 0, 0.03, 0.20, 0.04, 21.80, 0.05, 0.05, 0.00, 0
A, 100, 0, 0.03, 0.20, 0.00, 17.57, 0.06, 0.06, 0.00, 0
A, 100, 0, 0.03, 0.61, 1.00, 100.00, 0.33, 0.40, 0.00, 0
A, 100, 0, 0.03, 0.61, 0.45, 99.43, 0.10, 0.19, 0.02, 0
A, 100, 0, 0.03, 0.61, 0.31, 90.67, 0.05, 0.14, 0.06, 0
A, 100, 0, 0.03, 0.61, 0.13, 36.43, 0.03, 0.05, 0.12, 0
A, 100, 0, 0.03, 0.61, 0.09, 29.37, 0.03, 0.06, 0.02, 0
A, 100, 0, 0.03, 0.61, 0.05, 22.40, 0.05, 0.05, 0.00, 0
A, 100, 0, 0.03, 0.61, 0.04, 21.80, 0.05, 0.05, 0.00, 0
A, 100, 0, 0.03, 0.61, 0.00, 17.57, 0.06, 0.06, 0.00, 0
A, 100, 0, 0.03, 1.02, 1.00, 100.00, 0.33, 0.40, 0.00, 0
A, 100, 0, 0.03, 1.02, 0.45, 99.43, 0.10, 0.19, 0.02, 0
A, 100, 0, 0.03, 1.02, 0.31, 90.67, 0.05, 0.14, 0.06, 0
A, 100, 0, 0.03, 1.02, 0.13, 36.43, 0.03, 0.05, 0.12, 0
A, 100, 0, 0.03, 1.02, 0.09, 29.37, 0.03, 0.06, 0.02, 0
A, 100, 0, 0.03, 1.02, 0.05, 22.40, 0.05, 0.05, 0.00, 0
A, 100, 0, 0.03, 1.02, 0.04, 21.80, 0.05, 0.05, 0.00, 0
A, 100, 0, 0.03, 1.02, 0.00, 17.57, 0.06, 0.06, 0.00, 0
A, 100, 0, 0.04, 0.02, 1.00, 75.07, 0.08, 0.32, 0.02, 0
A, 100, 0, 0.04, 0.02, 0.45, 45.13, 0.06, 0.21, 0.03, 0
A, 100, 0, 0.04, 0.02, 0.31, 39.77, 0.06, 0.17, 0.02, 0
A, 100, 0, 0.04, 0.02, 0.13, 27.83, 0.04, 0.06, 0.04, 0
A, 100, 0, 0.04, 0.02, 0.09, 25.60, 0.03, 0.06, 0.02, 0
A, 100, 0, 0.04, 0.02, 0.05, 21.77, 0.05, 0.05, 0.00, 0
A, 100, 0, 0.04, 0.02, 0.04, 21.53, 0.05, 0.05, 0.00, 0
A, 100, 0, 0.04, 0.02, 0.00, 17.57, 0.06, 0.06, 0.00, 0
A, 100, 0, 0.04, 0.08, 1.00, 140.00, 0.09, 0.35, 0.03, 0
A, 100, 0, 0.04, 0.08, 0.45, 127.03, 0.05, 0.18, 0.14, 0
A, 100, 0, 0.04, 0.08, 0.31, 98.17, 0.04, 0.13, 0.14, 0
A, 100, 0, 0.04, 0.08, 0.13, 36.37, 0.03, 0.05, 0.12, 0
A, 100, 0, 0.04, 0.08, 0.09, 29.37, 0.03, 0.06, 0.02, 0
A, 100, 0, 0.04, 0.08, 0.05, 22.40, 0.05, 0.05, 0.00, 0
A, 100, 0, 0.04, 0.08, 0.04, 21.80, 0.05, 0.05, 0.00, 0
A, 100, 0, 0.04, 0.08, 0.00, 17.57, 0.06, 0.06, 0.00, 0
A, 100, 0, 0.04, 0.20, 1.00, 140.00, 0.21, 0.34, 0.00, 0
