Instance, Budget, PopSize(2 8 20 60 100), Info(0 total uncertainty...7 no uncertainty), nb evaluation, AVG dist, MaxMin, PR
T2, 140, 100, 0, 140, 6671.36, 7841.06, 0
T2, 420, 2, 7, 34.6, 563.203, 563.203, 0
T2, 420, 8, 2, 204.2, 281.538, 1489.85, 36.4815
T2, 420, 20, 4, 370.167, 103.907, 118.04, 66.6667
T2, 420, 60, 0, 420, 1860.83, 4198.12, 0
T2, 420, 100, 0, 420, 3730.57, 5457.48, 0
T2, 820, 2, 7, 34.6, 563.203, 563.203, 0
T2, 820, 8, 2, 204.2, 281.538, 1489.85, 36.4815
T2, 820, 20, 4, 376.333, 84.5731, 96.081, 73.3333
T2, 820, 60, 0, 820, 342.208, 3021.34, 5.61403
T2, 820, 100, 0, 820, 1357.63, 3510.72, 0
T2, 1220, 2, 7, 34.6, 563.203, 563.203, 0
T2, 1220, 8, 2, 204.2, 281.538, 1489.85, 36.4815
T2, 1220, 20, 4, 376.333, 84.5731, 96.081, 73.3333
T2, 1220, 60, 5, 1093.07, 24.5372, 29.2506, 91.6667
T2, 1220, 100, 0, 1220, 409.755, 2696.94, 1.96881
T2, 4020, 2, 7, 34.6, 563.203, 563.203, 0
T2, 4020, 8, 2, 204.2, 281.538, 1489.85, 36.4815
T2, 4020, 20, 4, 376.333, 84.5731, 96.081, 73.3333
T2, 4020, 60, 4, 1134.57, 0, 0, 100
T2, 4020, 100, 4, 1809.5, 0, 0, 100

T3, 20, 2, 4, 20, 1741.58, 1936.01, 0
T3, 20, 8, 0, 20, 6051.96, 8362.54, 0
T3, 20, 20, 0, 20, 9566.53, 10861.9, 0
T3, 20, 60, 0, 20, 10006.8, 11362.6, 0
T3, 20, 100, 0, 20, 10017, 11337.4, 0
T3, 60, 2, 6, 35.4667, 204.313, 242.237, 6.66667
T3, 60, 8, 1, 60, 2393.37, 4256.21, 0
T3, 60, 20, 0, 60, 5725.05, 7544.17, 0
T3, 60, 60, 0, 60, 7914.26, 9495.34, 0
T3, 60, 100, 0, 60, 8151.59, 9761.81, 0
T3, 100, 2, 6, 35.4667, 204.313, 242.237, 6.66667
T3, 100, 8, 6, 100, 732.22, 773.635, 1.66667
T3, 100, 20, 0, 100, 3877.29, 6390.97, 0
T3, 100, 60, 0, 100, 6931.71, 8488.86, 0
T3, 100, 100, 0, 100, 7399.28, 8961.19, 0
T3, 140, 2, 6, 35.4667, 204.313, 242.237, 6.66667
T3, 140, 8, 6, 132.333, 179.629, 215.271, 25
T3, 140, 20, 1, 140, 2699.41, 4203.26, 0
T3, 140, 60, 0, 140, 5765.6, 7634.14, 0
T3, 140, 100, 0, 140, 6882.41, 8529.19, 0
T3, 420, 2, 6, 35.4667, 204.313, 242.237, 6.66667
T3, 420, 8, 6, 139.9, 138.769, 162.161, 38.3333
T3, 420, 20, 5, 355.433, 72.8096, 86.7479, 63.3333
T3, 420, 60, 0, 420, 2185.1, 4975.56, 0
T3, 420, 100, 0, 420, 3784.05, 5872.88, 0
T3, 820, 2, 6, 35.4667, 204.313, 242.237, 6.66667
T3, 820, 8, 6, 139.9, 138.769, 162.161, 38.3333
T3, 820, 20, 5, 356.233, 72.8096, 86.7479, 63.3333
T3, 820, 60, 4, 820, 338.868, 448.228, 11.1111
T3, 820, 100, 0, 820, 1519.62, 4327.87, 0
T3, 1220, 2, 6, 35.4667, 204.313, 242.237, 6.66667
T3, 1220, 8, 6, 139.9, 138.769, 162.161, 38.3333
T3, 1220, 20, 5, 356.233, 72.8096, 86.7479, 63.3333
T3, 1220, 60, 4, 1076.53, 14.9829, 29.934, 95.5555
T3, 1220, 100, 0, 1220, 472.394, 3498.68, 2.74411
T3, 4020, 2, 6, 35.4667, 204.313, 242.237, 6.66667
T3, 4020, 8, 6, 139.9, 138.769, 162.161, 38.3333
T3, 4020, 20, 5, 356.233, 72.8096, 86.7479, 63.3333
T3, 4020, 60, 4, 1087.6, 7.82751, 8.46772, 96.6667
T3, 4020, 100, 4, 1781.3, 5.22021, 6.77659, 96.6667

T4, 20, 2, 4, 20, 2688.33, 2819.41, 0
T4, 20, 8, 1, 20, 8622.26, 9256.1, 0
T4, 20, 20, 1, 20, 12312.4, 12848, 0
T4, 20, 60, 0, 20, 13595.5, 14121.8, 0
T4, 20, 100, 0, 20, 13732, 14251.5, 0
T4, 60, 2, 3, 38.7333, 247.258, 444.482, 22.2222
T4, 60, 8, 1, 60, 3668.24, 4401.15, 0
T4, 60, 20, 1, 60, 8365.71, 8985.06, 0
T4, 60, 60, 0, 60, 11685.4, 12188.5, 0
T4, 60, 100, 0, 60, 11878.8, 12395.3, 0
T4, 100, 2, 3, 38.7333, 247.258, 444.482, 22.2222
T4, 100, 8, 2, 100, 1084.24, 1616.1, 0.25641
T4, 100, 20, 2, 100, 5917.58, 6527.34, 0
T4, 100, 60, 1, 100, 10007, 10599.3, 0
T4, 100, 100, 0, 100, 10413.2, 10899.8, 0
T4, 140, 2, 3, 38.7333, 247.258, 444.482, 22.2222
T4, 140, 8, 3, 138.433, 222.425, 357.211, 20
T4, 140, 20, 1, 140, 4103.8, 4554.81, 0
T4, 140, 60, 1, 140, 8483.9, 9099.85, 0
T4, 140, 100, 1, 140, 10031.6, 10606.9, 0
T4, 420, 2, 3, 38.7333, 247.258, 444.482, 22.2222
T4, 420, 8, 3, 159.4, 61.8431, 144.879, 61.1111
T4, 420, 20, 3, 379.167, 57.3616, 133.927, 64.4444
T4, 420, 60, 0, 420, 4079.8, 4856.62, 0
T4, 420, 100, 2, 420, 5986.79, 6585.72, 0
T4, 820, 2, 3, 38.7333, 247.258, 444.482, 22.2222
T4, 820, 8, 3, 159.4, 61.8431, 144.879, 61.1111
T4, 820, 20, 3, 382.733, 55.1117, 132.815, 65.5555
T4, 820, 60, 1, 820, 689.34, 1156.91, 3.15789
T4, 820, 100, 2, 820, 2832.56, 3328.39, 0
T4, 1220, 2, 3, 38.7333, 247.258, 444.482, 22.2222
T4, 1220, 8, 3, 159.4, 61.8431, 144.879, 61.1111
T4, 1220, 20, 3, 382.733, 55.1117, 132.815, 65.5555
T4, 1220, 60, 3, 1143.03, 44.4322, 104.292, 74.4444
T4, 1220, 100, 1, 1220, 1030.81, 1612.93, 0.175439
T4, 4020, 2, 3, 38.7333, 247.258, 444.482, 22.2222
T4, 4020, 8, 3, 159.4, 61.8431, 144.879, 61.1111
T4, 4020, 20, 3, 382.733, 55.1117, 132.815, 65.5555
T4, 4020, 60, 3, 1176.07, 24.4282, 73.2846, 85.5556
T4, 4020, 100, 5, 2041.03, 5.63728, 11.2746, 96.6667

